frame,Ankle.R_x,Ankle.R_y,Ankle.R_z,Knee.R_x,Knee.R_y,Knee.R_z,Hip.R_x,Hip.R_y,Hip.R_z,Hip.L_x,Hip.L_y,Hip.L_z,Knee.L_x,Knee.L_y,Knee.L_z,Ankle.L_x,Ankle.L_y,Ankle.L_z,Wrist.R_x,Wrist.R_y,Wrist.R_z,Elbow.R_x,Elbow.R_y,Elbow.R_z,Shoulder.R_x,Shoulder.R_y,Shoulder.R_z,Shoulder.L_x,Shoulder.L_y,Shoulder.L_z,Elbow.L_x,Elbow.L_y,Elbow.L_z,Wrist.L_x,Wrist.L_y,Wrist.L_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Nose_x,Nose_y,Nose_z,Eye.L_x,Eye.L_y,Eye.L_z,Eye.R_x,Eye.R_y,Eye.R_z,Ear.L_x,Ear.L_y,Ear.L_z,Ear.R_x,Ear.R_y,Ear.R_z,hip.Center_x,hip.Center_y,hip.Center_z
1,0.14761929,-0.53086996,-0.29471958,0.07680011,-0.17276202,-0.028728256,-0.08686893400000001,0.17595081,-0.10861130000000001,0.06467268,0.27714574,0.083336055,0.26561344,-0.08814635,-0.016976794,0.48958987,-0.39368683,-0.2675475,-0.7493139,-0.25348213,-0.1908542,-0.5406770000000001,-0.07729164,-0.18827102,-0.3923528,0.09599365,-0.044095800000000004,-0.43670559999999997,0.14817077,0.14186667,-0.67810756,0.096126825,0.24312899,-0.92713696,0.017811261000000002,0.19237314,-0.42881516,0.09854991,0.051782455,-0.60347086,0.05028703,0.006340206,-0.52257204,-0.07275512,0.06561726,-0.57019985,-0.03539151,0.07573172,-0.54642487,-0.049567252,0.014845744,-0.56219155,0.064668596,0.09797517,-0.51523006,0.037661083,-0.034032404,-0.01109812781214714,0.2265482842922211,-0.01263762265443802
2,0.44175044,-0.0027217027,-0.70532995,0.25578234,-0.0018375260000000001,-0.28176948,-0.086375736,0.15791675,-0.09472102,0.06898636,0.25763223,0.086355,0.35739443,0.23196715,-0.2558625,0.6026579000000001,0.28112411,-0.6491972,-0.92976034,0.018514061000000002,0.2275994,-0.68213093,0.014780948,0.11328852,-0.41805393,0.06280883,0.1172781,-0.35149738,0.097071454,0.29853186,-0.40526032,0.13461953,0.5645591999999999,-0.57961416,0.07254789,0.7543379,-0.39627036,0.044186816,0.21250300000000003,-0.55723166,-0.06777078,0.25889229999999996,-0.41929066,-0.14368945,0.25328124,-0.46441308,-0.124958515,0.2909525,-0.47379214,-0.13683917,0.2258456,-0.48420745,-0.028926969,0.31392202,-0.5065483000000001,-0.050529152,0.17703924,-0.008694685995578766,0.20777449011802676,-0.0041830092668533325
3,0.1902966,-0.11514046,-0.7760946,0.09403452,-0.08300565,-0.32405943,-0.11002762599999999,0.15833928,-0.059963144,0.08639774,0.25763252,0.06461889,0.37793142,0.20635204,-0.24558255,0.7394815,0.14051199,-0.52502793,-0.7349441999999999,-0.08187628,0.59670323,-0.5270019,-0.03617072,0.42953652,-0.32145214,0.08500254,0.30852854,-0.17843458,0.14533769,0.42430028,-0.110282265,0.15533231,0.68676645,-0.17894506,0.1298407,0.9418721,-0.25165156,0.086663775,0.3803862,-0.32827365,-0.031023972,0.5217048,-0.23628281,-0.09370884,0.41276532,-0.24115720000000002,-0.08306898,0.4727196,-0.29333138,-0.08915776,0.43202347,-0.23907973,0.008485794,0.5144201,-0.34770092,-0.0025193691,0.43234318,-0.011814944446086884,0.20798590779304504,0.002327874302864075
4,0.5702664000000001,0.42272532,-0.6452401,0.38097352,0.15166432,-0.27060005,-0.043585535,0.09001005,-0.06670983,0.019907232,0.32609987,0.041436136,0.40001366,0.39441597,-0.18554012,0.70392483,0.62356484,-0.51642996,-0.63851476,-0.14844565,0.7157998999999999,-0.48111084,-0.03861866,0.5179391999999999,-0.36337572,0.11191319,0.3232855,-0.2134314,0.30698097,0.3713889,0.0447367,0.4331922,0.39856064,0.26946416,0.41741085,0.54693365,-0.29575217,0.19417563,0.37852868,-0.3677402,0.16215864,0.5575357,-0.2380382,0.08962065,0.5176993,-0.26148793,0.13306026,0.5534806999999999,-0.2965483,0.08207969,0.52939504,-0.29574138,0.22160195,0.52292687,-0.37210992,0.11558387,0.46878707,-0.011839151382446287,0.20805495977401733,-0.01263684779405594
5,0.1650566,0.7244163,-0.7836778,0.03322847,0.401409,-0.43657318,-0.10921782,0.18632846,-0.08049333,0.1018546,0.21906006,0.07178039,0.24063003,0.6026271,-0.15220009,0.33293498,1.0446773,-0.36206508,-0.65853924,-0.526113,0.0051204865,-0.50070447,-0.28594226,0.013681116,-0.2552072,-0.17607947,0.119054124,-0.050618567,-0.21861306,0.23046397,0.108832225,-0.4557912,0.2565437,0.06114437,-0.73174435,0.22404443,-0.15087903,-0.22945069,0.17698132,-0.19650576,-0.41777468,0.22371201,-0.08468902,-0.39767063,0.110717446,-0.09591232,-0.41908342,0.16987512,-0.14411221,-0.41615823,0.12191524,-0.11861243,-0.36021784,0.24902624,-0.22197989,-0.35236445,0.15437722,-0.0036816112697124477,0.20269426703453064,-0.004356469959020615
6,-0.07218787,0.84152174,-0.7410468000000001,-0.08441381,0.50398463,-0.38095152,-0.1284702,0.20277151,-0.059527672999999996,0.10876766,0.21125051,0.05896515,0.3763236,0.41989958,-0.20934175,0.6827614000000001,0.61037123,-0.5414443,-0.66510785,-0.5059115,0.14491154,-0.5143627000000001,-0.26083016,0.14003408,-0.23898447,-0.1760794,0.15935333,-0.005598304,-0.2259734,0.20744683,0.17243662,-0.45594615,0.19743192,0.1304597,-0.7340472,0.16110387,-0.122417234,-0.23350841,0.1901933,-0.15963915,-0.40745990000000004,0.27166653,-0.09372121,-0.4102267,0.1256212,-0.08484666,-0.42545974,0.18678728,-0.14669192,-0.42072879999999996,0.15829363,-0.07242113,-0.3572371,0.26196384,-0.20305187,-0.34552857,0.2078141,-0.009851269423961641,0.20701101422309875,-0.00028126128017902374
7,-0.50628567,0.8931518,-0.5465551,-0.30588445,0.5395374,-0.24229813,-0.13690266,0.20902562,-0.022927037,0.12792492,0.21374415,0.02644754,0.32083678,0.54770756,-0.20064609,0.5704024999999999,0.8341788,-0.53983176,-0.4814024,-0.58917,-0.14038935,-0.41841513,-0.36232972,0.039507978,-0.15032226,-0.24785964,0.111404546,0.09815264,-0.2582277,0.105598554,0.322365,-0.41068098,-0.03996999,0.30494455,-0.6456584,-0.2107804,-0.016253892,-0.28804192,0.120170645,-0.013266501000000002,-0.47582440000000004,0.18237281,0.06694582,-0.44648212,0.0425284,0.0733983,-0.4644479,0.10422109,0.015119767,-0.47565442,0.06768574,0.05632878,-0.40151167,0.18501326,-0.06670111,-0.42203414,0.115998775,-0.0044888705015182495,0.21138489246368408,0.0017602518200874329
8,-0.27177495,0.95580375,-0.65447825,-0.20002796,0.5510805999999999,-0.34090790000000004,-0.13729748,0.21560696,-0.027991622999999997,0.13054736,0.23576792,0.01550533,0.15936221,0.6332639,-0.25661203,0.1906712,1.0325514999999998,-0.5878114999999999,-0.3890918,-0.7188545999999999,0.05768287,-0.34021762,-0.44141546,0.15817484,-0.10510041,-0.25342277,0.19508027,0.13650556,-0.23895627,0.17572738,0.32191795,-0.44290692,0.043576013,0.2683711,-0.7179151,-0.046036243,0.027893063,-0.27638564,0.19542864,0.05047273,-0.46496063,0.2675626,0.10503319,-0.44407179999999996,0.11327650000000002,0.12215221,-0.45654890000000004,0.17521845,0.05845523,-0.47113737,0.1501191,0.11858559,-0.38691205,0.25501993,-0.01650885,-0.414818,0.20704286,-0.003375060856342316,0.2256874442100525,-0.006243146490305661
9,0.16097446,-0.61091864,-0.037544955,0.08278224,-0.15876216,0.15082517,-0.13730073,0.24687555,0.019834775,0.10796445,0.31279640000000003,-0.093597405,0.26802278,0.042209699999999996,0.23431936,0.40583378,-0.41701800000000006,0.36110467,-0.12010577,0.17256929,0.29376113,-0.24556544,0.38640863,0.14941695,-0.25589895,0.683415,0.06757615,0.018307172,0.757525,-0.10281315,0.12692352,0.47475076,-0.16865541,0.22784853,0.22072837,-0.09682844,-0.13435924,0.80530167,-0.0044395505,-0.23394348,1.0176872,-0.025867516,-0.1723874,0.98031175,0.11570021,-0.16702887,1.0172987,0.06260096,-0.22569676,0.9857497,0.079836175,-0.126451,0.9887009,-0.03344231,-0.26232886,0.9182079,0.0036869189000000003,-0.014668140560388563,0.2798359990119934,-0.03688131272792816
10,-0.5447954,0.5834683,-0.7368931,-0.30661973,0.35326254,-0.36312014,-0.12819052,0.1952296,0.011860907,0.13048603,0.24751331,-0.015314069,-0.039641082,0.47770329999999994,-0.39753130000000003,-0.21969011,0.7665748,-0.76628196,0.021961448999999997,-0.74290967,0.22047967,-0.056465447,-0.47726828,0.31822953,0.06056483,-0.21018274,0.26615396,0.2674962,-0.14906776,0.18699674,0.49534259999999997,-0.33290395,0.15830746,0.6081219,-0.5864195,0.22869237,0.18302514,-0.20433489999999999,0.22814706,0.27330127,-0.3696821,0.29558837,0.28671184,-0.35203856,0.13380861,0.31796253,-0.35021806,0.18968119,0.25996152,-0.38760436,0.1804151,0.30577254,-0.27761346,0.26439905,0.18297644,-0.35350358,0.24980073,0.0011477544903755188,0.22137145698070526,-0.0017265807837247849
