frame,Ankle.R_x,Ankle.R_y,Ankle.R_z,Knee.R_x,Knee.R_y,Knee.R_z,Hip.R_x,Hip.R_y,Hip.R_z,Hip.L_x,Hip.L_y,Hip.L_z,Knee.L_x,Knee.L_y,Knee.L_z,Ankle.L_x,Ankle.L_y,Ankle.L_z,Wrist.R_x,Wrist.R_y,Wrist.R_z,Elbow.R_x,Elbow.R_y,Elbow.R_z,Shoulder.R_x,Shoulder.R_y,Shoulder.R_z,Shoulder.L_x,Shoulder.L_y,Shoulder.L_z,Elbow.L_x,Elbow.L_y,Elbow.L_z,Wrist.L_x,Wrist.L_y,Wrist.L_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Nose_x,Nose_y,Nose_z,Eye.L_x,Eye.L_y,Eye.L_z,Eye.R_x,Eye.R_y,Eye.R_z,Ear.L_x,Ear.L_y,Ear.L_z,Ear.R_x,Ear.R_y,Ear.R_z,hip.Center_x,hip.Center_y,hip.Center_z
1,0.15694992,-0.5096327,0.08636511,0.14649537,-0.13240817,-0.19240929999999998,0.12322259,0.2873595,0.0024536135999999997,-0.13185233,0.27968016,-0.049995948,-0.07155153,-0.17332889,-0.043862548,-0.05749119,-0.5882104,0.18822722,0.2922232,0.22276238,-0.03892463,0.2437301,0.46624818,0.0864583,0.1473614,0.7461238,0.04593943,-0.16466793,0.7512766,-0.03138027,-0.24806598,0.5012234999999999,-0.16155379999999997,-0.18980221,0.5513975999999999,-0.42100644,-0.008644775,0.82518303,-0.0077293953000000006,-0.01827553,1.0539412000000001,-0.057716414,-0.012886851999999999,0.94065726,-0.16863555,-0.049226686,0.9836875,-0.13673729999999998,0.018510412,0.9883084000000001,-0.13780038,-0.089022934,0.97530967,-0.03964871,0.06489053,0.9859117000000001,-0.039899603,-0.0043148696422576896,0.28351983428001404,-0.02377116680145264
2,0.13416936,-0.48337153,0.09041805,0.141079,-0.12492503,-0.20935144,0.123423845,0.28896856,0.0016441415,-0.13226838,0.2818733,-0.048614904,-0.06755121,-0.17063133,-0.030889515,-0.047007047,-0.580753,0.20995660000000002,0.28860265,0.21927258,-0.024624951000000003,0.24435014,0.4695066,0.08744638,0.15302755,0.7506443,0.03759807,-0.16170828,0.7593788,-0.03520796,-0.24678038,0.52126384,-0.1820102,-0.17590219,0.67739946,-0.38778573,-0.0044414979999999995,0.8308753000000001,-0.014949698999999999,-0.01780927,1.0585031999999999,-0.07466114,-0.019303389,0.9391195999999999,-0.17972094,-0.053564817,0.98396486,-0.14738595,0.013940923000000001,0.98861104,-0.15345407,-0.086471006,0.98051196,-0.047482193,0.06734467,0.9916947,-0.058709495,-0.0044222697615623465,0.2854209244251251,-0.02348538115620613
3,0.115110636,-0.4733088,0.07425574,0.12872712,-0.11432526,-0.20558196,0.12100446,0.29188323,0.0044904226,-0.12924635,0.28874043,-0.047714375,-0.06823277,-0.15640087,-0.034502055,-0.04892897,-0.55704933,0.19628558,0.30754793,0.26200378,-0.07438662,0.26480085,0.49661788,0.060366865,0.1534034,0.76556,0.043210905,-0.15828429,0.77184975,-0.035811845,-0.24697141,0.5647975000000001,-0.2124117,-0.20091355,0.6714348000000001,-0.45226930000000004,-0.0035442142,0.8408241,-0.009163509,-0.02126736,1.0662068999999998,-0.0713018,-0.024829663,0.9454005999999999,-0.17434657,-0.05838326,0.9898429,-0.14121671,0.008653834000000001,0.9954400999999999,-0.14982982,-0.087761834,0.9879556999999999,-0.039774947000000005,0.06649061,1.000638,-0.056909256,-0.004120945930480957,0.2903118133544922,-0.02161197550594807
4,0.10234966,-0.47180945,0.06814810000000002,0.12054148,-0.11225693,-0.20416568,0.120791614,0.29250452,0.0029976456,-0.12847489,0.292344,-0.044589582999999995,-0.07640058,-0.1510099,-0.03658913,-0.06049962,-0.5506053000000001,0.18752995,0.3060355,0.26798543,-0.07024742,0.2676285,0.5050435000000001,0.05834941,0.1569681,0.77094144,0.039535478,-0.15512726,0.77812916,-0.033696834,-0.25912917,0.58080196,-0.21029985,-0.22951308,0.6749908,-0.45710415,-0.00049157906,0.84515876,-0.0100966375,-0.022463228999999998,1.0704236,-0.06613517,-0.029485404,0.9533161,-0.17357749,-0.061886944000000006,0.9961858,-0.13732773,0.0046869516,1.0026935,-0.14851022,-0.08707159,0.9905271000000001,-0.034733526,0.06670194,1.0049664,-0.057740092,-0.0038416385650634774,0.2924242615699768,-0.02079596929252148
5,0.08448807,-0.45377377,0.04459137,0.11625957,-0.09961791,-0.22922729,0.12107977,0.29062432,0.0016743812,-0.12847249,0.29198518,-0.041713227,-0.07728809,-0.149497,-0.022576908,-0.055243205,-0.55884206,0.18101488,0.30905488,0.26597083,-0.07679974,0.2712286,0.50335264,0.05025676,0.16065495,0.76853436,0.033544514,-0.15191102,0.7780821,-0.031131411,-0.27000052,0.5844866999999999,-0.20205465,-0.24845067,0.6871556,-0.44521996,0.0030395212,0.84298176,-0.012356826000000001,-0.020899385,1.0672865,-0.06766808,-0.032070413,0.9503782,-0.174873,-0.063041486,0.99319005,-0.13733888,0.0029973461999999998,0.9997421000000001,-0.15119806,-0.083930954,0.98744273,-0.03397879,0.06852799999999999,1.0020235999999998,-0.06309906,-0.0036963596940040593,0.2913047671318054,-0.020019423216581345
6,0.066931315,-0.45669344,0.043485265,0.10677953,-0.10484589999999998,-0.23994528,0.12271193400000001,0.28399575,0.0012882418,-0.12902147,0.28756076,-0.043001316,-0.07717329,-0.15629694,-0.013169236499999999,-0.055009384,-0.57739073,0.1793777,0.31653956,0.24053857,-0.044309184,0.26842117,0.48626488,0.06730219999999999,0.16168731,0.75510037,0.04063465,-0.14796527,0.76922333,-0.03191492,-0.27075005,0.5788488,-0.20727146,-0.26125404,0.6660206999999999,-0.46011406,0.007283345,0.8321251000000001,-0.009256988,-0.0073250677,1.0567043,-0.06407157,-0.014799669,0.94100714,-0.17212853,-0.047031805,0.9845792,-0.136916,0.019905865,0.9891406999999999,-0.14628986,-0.07465833,0.978994,-0.03560321,0.07852669,0.98904514,-0.054518014000000004,-0.0031547658145427704,0.2857782542705536,-0.02085653692483902
7,0.06065981,-0.47237524,0.06956224,0.10485973,-0.120809875,-0.22068858,0.12309468,0.28181866,0.0024387892000000003,-0.12906037,0.28636545,-0.046544805,-0.07745948,-0.16034105,-0.018481341999999998,-0.055903304,-0.5829805,0.17885046,0.32039815,0.2270056,-0.0018024324,0.26543617,0.48089552,0.08806543,0.16516405,0.7507496,0.033762716,-0.14374265,0.76681775,-0.045068335,-0.27272576,0.57274044,-0.21505934,-0.26670235,0.6750358,-0.46257764,0.012010335,0.8291296999999999,-0.021377575,-0.00015294843000000002,1.0541445,-0.070586346,-0.0127152875,0.9424969000000001,-0.1826128,-0.043202437,0.9853376,-0.1449535,0.023487821000000002,0.989274,-0.15631846,-0.0677222,0.97635376,-0.043380514,0.08476641,0.9850389999999999,-0.066488184,-0.0029828473925590515,0.2840920686721802,-0.022053007036447525
8,0.048352264000000006,-0.47054085,0.061059233,0.08561089,-0.11888435,-0.22949320000000004,0.12417467,0.2814256,-0.0019424274,-0.12942384,0.28833663,-0.040915333,-0.08042978,-0.15998164,-0.032125235,-0.055764664000000005,-0.5842611,0.16174152,0.32837036,0.23010540000000002,-0.016057798999999998,0.27029637,0.48220983,0.07735030000000001,0.16796716,0.7524541,0.030471774,-0.14384645,0.76647735,-0.038456846,-0.27187675,0.5711727,-0.20733829999999998,-0.28484940000000003,0.6781246999999999,-0.45270017,0.012459425,0.8305654,-0.019271313999999998,-0.0021816492,1.0564668,-0.06754760000000001,-0.017173715,0.9448613000000001,-0.17928615,-0.04683741,0.98756695,-0.14070758,0.019546002,0.9917885000000001,-0.15380955,-0.0686896,0.97835946,-0.038465314,0.083236545,0.98770267,-0.065583795,-0.0026245862245559692,0.2848811149597168,-0.021428879350423813
9,0.05592599,-0.44269538,0.032334602999999996,0.079569384,-0.09763114,-0.26070166,0.12450472,0.28114438,-0.004886778,-0.12985842,0.28695494,-0.035306618,-0.07777160400000001,-0.15937713,-0.033333715,-0.049026463,-0.58568454,0.15045315,0.31467703,0.22057602,-0.018565832,0.26098394,0.4760945,0.06462894,0.16724285,0.748152,0.021530277999999996,-0.14556432,0.76406443,-0.037372254,-0.28044412,0.56803805,-0.19756089999999998,-0.30086765,0.66775465,-0.44433302,0.010988458000000001,0.82776767,-0.023074096000000002,-0.008208674000000001,1.0539742,-0.0660728,-0.023954041000000002,0.94491756,-0.17978552,-0.05339905599999999,0.9861955,-0.13955106,0.012499608,0.9918815000000001,-0.15420035,-0.07240453,0.9742668999999999,-0.03723659,0.07826061,0.9869889000000001,-0.06793514,-0.0026768483221530914,0.2840496599674225,-0.02009669691324234
10,0.050823587999999996,-0.43653798,0.042274192,0.06830012,-0.09914074,-0.24751353,0.12290338,0.28378522,-0.008813581,-0.12822212,0.2905963,-0.029902874,-0.081324354,-0.15091754,-0.04186907,-0.056791864000000004,-0.5667433000000001,0.14443013,0.31694695,0.23796979,-0.054092493,0.26553705,0.4855630999999999,0.041990805,0.16866016,0.75403225,0.021595541,-0.14475024,0.7669009,-0.021981087000000003,-0.27235764,0.5686884,-0.17757717,-0.30060625,0.6588126999999999,-0.4235492,0.010305043,0.8327281999999999,-0.013196157,-0.0191954,1.0590402,-0.052916675999999996,-0.03977298,0.9490190999999999,-0.16474721,-0.067286715,0.9891151,-0.122103944,-0.0032714605,0.99744403,-0.14217687,-0.07704319,0.97715783,-0.018572308,0.06999481,0.99558157,-0.06154482,-0.0026593729853630066,0.2871907651424408,-0.019358227029442787
