frame,Ankle.R_x,Ankle.R_y,Ankle.R_z,Knee.R_x,Knee.R_y,Knee.R_z,Hip.R_x,Hip.R_y,Hip.R_z,Hip.L_x,Hip.L_y,Hip.L_z,Knee.L_x,Knee.L_y,Knee.L_z,Ankle.L_x,Ankle.L_y,Ankle.L_z,Wrist.R_x,Wrist.R_y,Wrist.R_z,Elbow.R_x,Elbow.R_y,Elbow.R_z,Shoulder.R_x,Shoulder.R_y,Shoulder.R_z,Shoulder.L_x,Shoulder.L_y,Shoulder.L_z,Elbow.L_x,Elbow.L_y,Elbow.L_z,Wrist.L_x,Wrist.L_y,Wrist.L_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Nose_x,Nose_y,Nose_z,Eye.L_x,Eye.L_y,Eye.L_z,Eye.R_x,Eye.R_y,Eye.R_z,Ear.L_x,Ear.L_y,Ear.L_z,Ear.R_x,Ear.R_y,Ear.R_z,hip.Center_x,hip.Center_y,hip.Center_z
1,-0.42233026,-0.30890673,-0.11989134,-0.32584196,0.023980117999999998,0.16911733,-0.11901584,0.2992212,-0.06083353,0.12824927,0.26781482,-0.005158569,0.09310082,-0.16057661,0.11659137,-0.032693557000000005,-0.46380574,-0.20055819,-0.24414225,0.32827365,0.028629027,-0.23399357,0.47811162,-0.19396406,-0.16981728,0.70540684,-0.009971872,0.122235306,0.72142076,0.1212682,0.26142552,0.49132234,0.0006361016999999999,0.16204667,0.31274962,0.168043,-0.04217524,0.78037256,0.09462492,-0.058965699999999996,0.9962992,0.11139462,-0.12830222,0.9156028,0.22851184,-0.07950812,0.95318854,0.21095984,-0.13601017,0.9500983000000001,0.1737229,0.0075242780000000006,0.9230646,0.15917608,-0.121453255,0.9191845,0.072742805,0.0046167150139808655,0.2835180163383484,-0.0329960472881794
2,-0.45990115,-0.3053585,-0.15614046,-0.32392895,0.0035979003000000003,0.14491545,-0.11785498,0.30437145,-0.05807042,0.12773153,0.26569414,-0.0036390046999999997,0.07463988,-0.16178674,0.10889952,-0.04823561,-0.4743178,-0.19935636,-0.29379556,0.32446379999999997,-0.011383741000000001,-0.21763317,0.49753332,-0.20133607,-0.15622129,0.7137534000000001,-0.0038738809999999996,0.13237979999999996,0.72110575,0.13265577,0.27295053,0.489839,0.016465612,0.19699131,0.30504704,0.18897034,-0.030425723999999998,0.7830249,0.1056614,-0.049418855,0.99928963,0.12922874,-0.11662213,0.91372585,0.2442348,-0.06852251,0.9526100000000001,0.22740597,-0.125194,0.94980836,0.19044589999999997,0.018683685,0.92555416,0.17406827,-0.11120809,0.92233616,0.08818759,0.004938274621963501,0.28503280878067017,-0.030854713171720505
3,-0.47343922,-0.31738922,-0.23217706,-0.31991106,-0.04635125,0.10760382,-0.11915904,0.29742524,-0.052075925999999995,0.12820783,0.25900286,-0.0035731292,0.06479698,-0.17716481,0.09285514,-0.05755564,-0.5084363000000001,-0.20762634,-0.3165284,0.29408795,-0.038146436,-0.2204959,0.48540244,-0.20445618,-0.14931409,0.71062994,-0.020942817,0.13674025,0.7195315,0.10927786,0.27064034,0.47584394,0.011802536,0.20743939999999997,0.27532855,0.17655368,-0.024076043,0.78084016,0.08185903,-0.045528516,0.9955861999999999,0.10152332,-0.120547794,0.9096818999999999,0.21060689,-0.0723546,0.9496141,0.19820735,-0.12516999,0.9452609000000001,0.15624075,0.019327095,0.92432475,0.15291741,-0.10114342,0.9173720999999999,0.057154342999999996,0.004524394869804382,0.2782140374183655,-0.027824528515338898
4,-0.49200454,-0.33250308,-0.2282324,-0.3154499,-0.04951882,0.085365325,-0.11971558,0.30064115,-0.05015975599999999,0.12786381,0.26687422,-0.0061723017000000005,0.083355725,-0.15691079,0.122715525,-0.040792435,-0.47692767,-0.17820424,-0.32193512,0.30300573,-0.005973520699999999,-0.23775116,0.48225302,-0.18848747,-0.15677267,0.7147422,-0.018547736000000002,0.13702044,0.7292439000000001,0.10062951,0.27486652,0.48703563,0.0039829259999999995,0.22390516,0.28740679999999996,0.17190875,-0.026476799999999998,0.78987026,0.0785877,-0.051680848,1.008069,0.10202513,-0.11517348,0.9176892,0.21480410000000003,-0.06918305,0.95908314,0.19921225,-0.12505125,0.9541873,0.16157341,0.019539107,0.9373883,0.1462309,-0.10887495,0.92902476,0.059372105,0.004074115306138992,0.28375768661499023,-0.0281660296022892
5,-0.47662258,-0.33110327,-0.25753963,-0.30527362,-0.059554957,0.065047525,-0.118573755,0.3032599,-0.052520998,0.12575614,0.26903164,0.000792663,0.06633052,-0.16016865,0.101151586,-0.036812502999999996,-0.4753691,-0.20904395,-0.33392766,0.31145605,-0.036028492999999995,-0.22933362,0.500077,-0.19511402,-0.15715083,0.7235477,-0.01290788,0.13149583,0.7322193,0.11557989,0.26744947,0.491171,0.018228188,0.23715479999999997,0.29147547,0.18852717,-0.030334141000000002,0.79493636,0.09066044,-0.051749065999999996,1.0128089,0.11258368,-0.121918544,0.92587626,0.22465304,-0.0741289,0.96579206,0.20995042,-0.12879355,0.961735,0.17039362,0.016076466,0.9408004000000001,0.16048557,-0.10969691,0.9342808000000001,0.06898987,0.003591194748878479,0.28614577651023865,-0.025864167138934132
6,-0.45870920000000004,-0.3769494,-0.28951147,-0.29906370000000004,-0.09333622,0.04499891,-0.12073925,0.29147458,-0.046612293,0.12698139,0.25892243,-0.0013567558,0.07706055,-0.18358287,0.07357998,-0.025092807,-0.52628595,-0.22622891,-0.36541972,0.26763517,-0.04750456,-0.24058816,0.46997678,-0.18061078,-0.15430987,0.704016,-0.015820028,0.13376193,0.7172111,0.099941365,0.27328467,0.47288424,0.011301704,0.26752195,0.2567255,0.17003068,-0.026210982,0.77740455,0.07848613,-0.047186274,0.9928325000000001,0.09923135,-0.117030255,0.9057575000000001,0.210123,-0.06979715,0.9460863000000002,0.19636637,-0.12406795,0.94182646,0.1565444,0.01956964,0.9221031999999999,0.14702266,-0.10370950400000001,0.9150063,0.05670196,0.0031210705637931824,0.2751985192298889,-0.023984523490071297
7,-0.44602156,-0.41190115,-0.2870522,-0.29032779999999997,-0.106636375,0.03653036,-0.122119226,0.28789106,-0.047862645,0.12754297,0.25938928,-0.0017233124,0.08137264,-0.1796917,0.09950844,-0.009893019,-0.53697485,-0.19191325,-0.38118723,0.25325102,-0.08277316,-0.24322706,0.46828806,-0.18364439999999999,-0.15705909,0.7017344,-0.016237896,0.13206184,0.7154656,0.09517131,0.27411729999999995,0.47338527,0.0014480166,0.27983220000000003,0.23880225,0.13668874,-0.027425612999999998,0.7747651,0.076848894,-0.045748662,0.9902268,0.10206866,-0.10414679,0.90144587,0.21811935,-0.05809234,0.94145346,0.19994684,-0.116612,0.9388554,0.16645369,0.02441317,0.91785157,0.14036189,-0.10802034,0.91405654,0.06408431,0.0027118735015392303,0.27364015579223633,-0.024792978540062904
8,-0.40759096,-0.42838833,-0.267773,-0.27282172,-0.11565338,0.05604732,-0.12392776,0.28658473,-0.04284151,0.12716046,0.2620589,-0.007003706,0.08936907,-0.18321042,0.07222427,0.010200478,-0.5495561,-0.21343285,-0.41753808,0.24777691,-0.10281661,-0.27678496,0.47949427,-0.15841414,-0.1592659,0.7093691999999999,-0.007997081999999999,0.1379672,0.7194710999999999,0.08276597,0.28335,0.47767170000000003,-0.0051579317,0.32620874,0.22800076,0.09609308,-0.02212239,0.7795683000000001,0.0733557,-0.03384062,0.9940091999999999,0.093488894,-0.09588661,0.91086507,0.21205562,-0.048578367000000004,0.9490793,0.19303465,-0.10667787,0.9465150999999999,0.1587517,0.034491688,0.9215496999999999,0.13519466,-0.097178295,0.9176394,0.057551384000000004,0.001616351306438446,0.2743218243122101,-0.024922607466578484
9,-0.35147572,-0.48610884,-0.26912670000000005,-0.24511549,-0.14536949999999998,0.046808258,-0.12605406,0.27969468,-0.036872443,0.12707552,0.25606465,-0.009853957,0.096396774,-0.19550309999999999,0.045939855,0.035683006,-0.5892672,-0.22055727,-0.43135726,0.25819144,-0.10076145,-0.27559286,0.48270053,-0.15207787,-0.1452268,0.70529085,-0.0006191991,0.15157527,0.7072154,0.07966866,0.31329298,0.46997368,0.0022557955,0.37533712,0.22785431,0.11559015,-0.0053400574,0.76920426,0.07454071,-0.014275695,0.9816643,0.096919514,-0.07301123400000001,0.89719987,0.21574634,-0.026387182999999998,0.93590546,0.19632679,-0.085195825,0.9334048,0.1634236,0.05474813,0.9097252,0.13603699,-0.07749265400000001,0.9059149999999999,0.062396895,0.0005107298493385315,0.2678796648979187,-0.023363199084997174
10,-0.32186190000000003,-0.51014364,-0.21363527,-0.2274219,-0.1391193,0.05972349,-0.12650321,0.28491408,-0.03617067,0.12486707,0.26567698,-0.01183567,0.10552596,-0.18035442,0.04975799,0.06333261,-0.58293104,-0.19559424,-0.43903000000000003,0.2931105,-0.054118756,-0.28804737,0.5060979,-0.14118272,-0.14712909,0.7225953,0.0053774677,0.15501767,0.7197387,0.07349212,0.3176573,0.48585993,-0.008472339,0.39737886,0.25139275,0.105272,-0.0028931890000000004,0.78307265,0.07670466599999999,-0.01692679,0.99600756,0.10964849,-0.06548875,0.90410054,0.22824235,-0.021240704,0.9451146999999999,0.20741527,-0.08186289999999999,0.9416720999999999,0.17783259,0.05796559999999999,0.9247214,0.14129306,-0.07972516,0.9186652,0.07455622,-0.0008180737495422362,0.2752955257892609,-0.024003170430660248
