frame,Ankle.R_x,Ankle.R_y,Ankle.R_z,Knee.R_x,Knee.R_y,Knee.R_z,Hip.R_x,Hip.R_y,Hip.R_z,Hip.L_x,Hip.L_y,Hip.L_z,Knee.L_x,Knee.L_y,Knee.L_z,Ankle.L_x,Ankle.L_y,Ankle.L_z,Wrist.R_x,Wrist.R_y,Wrist.R_z,Elbow.R_x,Elbow.R_y,Elbow.R_z,Shoulder.R_x,Shoulder.R_y,Shoulder.R_z,Shoulder.L_x,Shoulder.L_y,Shoulder.L_z,Elbow.L_x,Elbow.L_y,Elbow.L_z,Wrist.L_x,Wrist.L_y,Wrist.L_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Nose_x,Nose_y,Nose_z,Eye.L_x,Eye.L_y,Eye.L_z,Eye.R_x,Eye.R_y,Eye.R_z,Ear.L_x,Ear.L_y,Ear.L_z,Ear.R_x,Ear.R_y,Ear.R_z,hip.Center_x,hip.Center_y,hip.Center_z
1,0.18681802,-0.5605693,-0.019487122,0.14348263,-0.12316188,0.030551746,-0.004767304799999999,0.28467017,0.10421586,-0.00038768502,0.28858578,-0.14168158,-0.0238984,-0.14232664,-0.115147166,-0.19099104,-0.5575633000000001,-0.112528205,0.16474341,0.36825782,0.2700324,-0.04374987,0.5283406,0.27413678,-0.05104897,0.7667555,0.12164057,-0.0028187715999999996,0.74485654,-0.18588543,0.041832324,0.48413533,-0.29191792,0.24046504,0.37129065,-0.17170456,-0.015210109,0.82426715,-0.03245344,-0.02306132,1.0434608,-0.029291308,0.08501564,0.9684280999999999,0.05866906,0.07460445,1.0072584999999998,0.008699089,0.026972877000000003,0.99589866,0.055329047,0.043620005,0.9807265,-0.09098716,-0.06366463,0.9579934000000001,0.016665772,-0.002577494829893112,0.2866279780864716,-0.01873286068439484
2,0.18989846,-0.5569549,-0.02254585,0.146345,-0.12058577,0.02888925,-0.0044822316,0.28541836,0.10431011,-0.0011913728999999999,0.29026735,-0.14142232,-0.023409412999999997,-0.14032795,-0.116658635,-0.18889791,-0.5552921,-0.11549272,0.1628697,0.37539256,0.26576120000000003,-0.048168197,0.53087574,0.27347803,-0.049896352000000005,0.76989126,0.12295139,-0.004699629,0.7478839,-0.18522458,0.03000034,0.48704398,-0.29393476,0.2319197,0.3745182,-0.18024704,-0.014527861000000001,0.82734954,-0.031631667,-0.023996567000000003,1.046289,-0.03011134,0.08676553,0.97365665,0.05692012,0.07487954,1.0117334999999998,0.006593540300000001,0.028227257999999998,1.0003308000000002,0.05425787,0.04251328,0.9835719,-0.092356674,-0.06275851,0.9607018,0.017715476,-0.0028368022758513693,0.287842869758606,-0.018556103110313416
3,0.19176887,-0.55514634,-0.024855455,0.14821985,-0.11926487,0.025017392000000003,-0.0010134685,0.2862606,0.1042218,-0.0046347096,0.29039288,-0.14133246,-0.025469095,-0.13982901,-0.11409718,-0.1878032,-0.5550852,-0.10634341,0.15850551,0.37924647,0.26563093,-0.05096090599999999,0.53590965,0.27247104,-0.046793923,0.7733379,0.121683784,-0.009993544,0.7504743,-0.18639639,0.015386665,0.4918558,-0.30062413,0.22544262,0.3802548,-0.20319468,-0.014303386000000001,0.82947063,-0.033081315,-0.025583154,1.0471172,-0.03240151,0.0871704,0.9765521,0.054115854000000005,0.074261665,1.0142958,0.0037458165999999997,0.028120136,1.002213,0.05176893,0.041668005,0.98532414,-0.095037594,-0.06242951,0.9609511000000001,0.015989445,-0.002824089024215937,0.2883267402648926,-0.018555331975221637
4,0.19175246,-0.5535203000000001,-0.023935772,0.1486183,-0.11820067,0.025162077999999997,-0.0005362356299999999,0.28699154,0.10418150000000001,-0.0052112103000000005,0.2905949,-0.14130402,-0.024859698,-0.13919315,-0.11346147,-0.18593366,-0.55421156,-0.10475778,0.15902105,0.39043394,0.26412404,-0.053839885,0.5409801,0.27247334,-0.04550413,0.7762544,0.1199425,-0.011002421,0.7525229999999999,-0.18754902,0.0044054585,0.49539867,-0.30517548,0.21473648,0.38927874,-0.20463753,-0.013013572,0.8310429,-0.034610327,-0.024005719,1.0478835,-0.035072546,0.089507,0.9782423000000001,0.051516928,0.0762126,1.0156030999999999,0.0009178445,0.030308402999999998,1.0036662,0.049233958,0.043297995,0.9858509,-0.09761972,-0.060304783,0.9618473,0.014123678,-0.002873722929507494,0.2887932062149048,-0.018561258912086487
5,0.19009423,-0.55387396,-0.025407579,0.14651427,-0.11888322,0.025479361000000002,-0.0016884528,0.2867478,0.10426959400000001,-0.0037878775,0.29073232,-0.14129914,-0.025343014,-0.13886122,-0.11404046,-0.1863233,-0.55395603,-0.10794549999999999,0.166322,0.39711347,0.25534117,-0.050194748,0.5413566,0.27255917,-0.046217334000000006,0.7764956000000001,0.11964347,-0.009393031999999999,0.7525297,-0.18770757,0.0075447606,0.49537733,-0.30504903,0.21310815,0.39534223,-0.19008295,-0.012960925,0.8310114,-0.03484219,-0.022972595,1.0480871999999999,-0.035886306,0.08965221,0.9779110000000001,0.051431753,0.07683823,1.0152267,0.00065882504,0.030629179,1.0037243,0.048792362,0.04420459,0.9854004999999999,-0.09794224,-0.06012198,0.9624461999999999,0.013342291000000001,-0.002738165203481913,0.2887400686740875,-0.018514774739742283
6,0.18660831,-0.554318,-0.026382007000000002,0.14444773,-0.119405,0.024568452999999997,-0.0009054794000000001,0.2870242,0.10422522,-0.0043155327,0.29084837,-0.14115988,-0.026064228,-0.13860701,-0.11373934,-0.18600552,-0.55380774,-0.10729934,0.16459398,0.38555044,0.24856643,-0.045137063,0.5396795,0.27019772,-0.045535217999999995,0.7764788,0.11960757,-0.011729368,0.7520174,-0.18837017,0.008629674,0.4937845,-0.30255434,0.21502471,0.39389142,-0.18851921,-0.014505785,0.831303,-0.035594903,-0.02557345,1.0488365,-0.036937855,0.08732569,0.9788513000000001,0.050104357,0.07432467,1.0162082000000001,-0.00060298294,0.02821393,1.0045191,0.047562987,0.041639737999999996,0.98638725,-0.099189416,-0.06246378599999999,0.9630506,0.012190267,-0.002610506024211645,0.2889362871646881,-0.018467329442501068
7,0.18412876,-0.5591809,-0.026755402,0.14241864,-0.122852445,0.027542392000000002,-0.0041723363,0.28472257,0.10439013,-0.0006620553299999999,0.29012838,-0.14153802,-0.026888331,-0.14040191,-0.11512169,-0.19200751,-0.5555041000000001,-0.11415655,0.16084152,0.36796516,0.25585043,-0.042900022,0.53254706,0.27125229999999995,-0.047608424,0.77180105,0.12236071,-0.010863685,0.74933976,-0.18558344,0.01258464,0.49065584,-0.29989099999999996,0.21685499,0.38071105,-0.18918301,-0.01579119,0.82811356,-0.032497957,-0.026798302000000003,1.045779,-0.034464765,0.08433718,0.97570384,0.05453551,0.07234867,1.0129700000000001,0.0035692155,0.025430152,1.0016328,0.051025062999999996,0.041057047,0.9829831,-0.09525746,-0.0646964,0.9604440000000001,0.014311843000000001,-0.0024171958211809397,0.2874254584312439,-0.018573947250843048
8,0.1861057,-0.55839074,-0.031483285,0.14166799,-0.12267123,0.02468735,-0.0032493516,0.28497866,0.104347765,-0.0014624014000000002,0.29021478,-0.14152712,-0.026411603999999998,-0.14028683,-0.112909734,-0.18881826,-0.5563885000000001,-0.109979585,0.15697060000000002,0.36017174,0.25773457,-0.041385047,0.5314542,0.27237996,-0.045204065999999994,0.7714225,0.12383154,-0.011835128,0.74958414,-0.18507071,0.013129681,0.49068505,-0.29891813,0.22019796,0.38146636,-0.19271992,-0.015144534,0.8283931000000001,-0.031549722,-0.026200632,1.0463815,-0.032340206,0.086516835,0.97583413,0.054262057,0.07359741,1.0133306999999998,0.00368087,0.027574427000000002,1.0018088,0.051952757,0.040453166,0.9838051999999999,-0.094660334,-0.06329243,0.9608302,0.016765773,-0.0023558763787150387,0.2875967025756836,-0.018589675426483158
9,0.18595277,-0.5549451999999999,-0.02960087,0.14388932,-0.12039163,0.027241893,-0.004395037,0.28547278,0.10439654,-0.00058496406,0.29030100000000003,-0.1413848,-0.023739458999999997,-0.13947408,-0.11449036,-0.187149,-0.55399406,-0.11431673,0.17806566,0.39116663,0.24586439999999998,-0.037286397,0.53659713,0.27024147,-0.045194183,0.7739156999999999,0.12086122,-0.010886808999999999,0.7513834,-0.1865046,0.0039064335,0.49439037,-0.30379522,0.20896108,0.39433786,-0.18862912,-0.013950279,0.82942647,-0.03367453,-0.024576029,1.046706,-0.036164004,0.08709474,0.97696584,0.052600987,0.07483268,1.0140419,0.0015614778,0.028141098,1.0028158,0.04926426,0.04309658,0.98370695,-0.097094506,-0.062215045,0.9614754000000001,0.013134353,-0.002490000566467643,0.2878868877887726,-0.018494129180908203
10,0.166628,-0.6516175999999999,-0.0503425,0.089010544,-0.18549602,0.023611757999999997,-0.024528202000000002,0.25370112,0.10575504599999999,0.029092599,0.27699074,-0.14623232,-0.052347817000000005,-0.17162341,-0.15175427,-0.2435205,-0.6120025,-0.21390128,0.04223904,0.17116928,0.26764753,-0.089266695,0.41804102,0.23886569,-0.07462184,0.703098,0.15120271,-5.1518902e-05,0.7103355,-0.15106727,0.06328715,0.4304577,-0.23710029999999996,0.24480428,0.22269776,-0.20646460000000003,-0.029884822999999998,0.78316665,0.0056662187,-0.05348561,1.0020646,0.03260986,0.056913577,0.92289865,0.1121509,0.045753144,0.96713376,0.06732608,-0.0014259926999999999,0.9489019000000001,0.11244583,0.01559806,0.9501915999999999,-0.032687552,-0.08847961,0.91240704,0.06841225,0.0022821985185146327,0.2653459310531616,-0.020238637924194336
