frame,Ankle.R_x,Ankle.R_y,Ankle.R_z,Knee.R_x,Knee.R_y,Knee.R_z,Hip.R_x,Hip.R_y,Hip.R_z,Hip.L_x,Hip.L_y,Hip.L_z,Knee.L_x,Knee.L_y,Knee.L_z,Ankle.L_x,Ankle.L_y,Ankle.L_z,Wrist.R_x,Wrist.R_y,Wrist.R_z,Elbow.R_x,Elbow.R_y,Elbow.R_z,Shoulder.R_x,Shoulder.R_y,Shoulder.R_z,Shoulder.L_x,Shoulder.L_y,Shoulder.L_z,Elbow.L_x,Elbow.L_y,Elbow.L_z,Wrist.L_x,Wrist.L_y,Wrist.L_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Nose_x,Nose_y,Nose_z,Eye.L_x,Eye.L_y,Eye.L_z,Eye.R_x,Eye.R_y,Eye.R_z,Ear.L_x,Ear.L_y,Ear.L_z,Ear.R_x,Ear.R_y,Ear.R_z,hip.Center_x,hip.Center_y,hip.Center_z
1,0.10612965,-0.22507009,-0.23307632,-0.23899181,-0.11432918,-0.046004407000000004,-0.08673287,0.2738164,-0.10393608,0.08337386,0.2532433,0.068172306,0.0067677787,-0.16700402,0.025846286,0.11500397,-0.41994209999999993,-0.30128354,-0.47365013,0.8691076999999999,-0.33187887,-0.24219963,0.76995707,-0.30394554,-0.061284902999999995,0.7430438,-0.11215633,0.076316565,0.7701814,0.08549879,0.095627755,0.936113,0.28082296,0.0075119209999999995,1.1349348,0.41584072,0.002632173,0.78527874,-0.006090845,0.032190542999999995,0.9794709,-0.020560453,-0.08477432,0.94281155,0.076952085,-0.026991956,0.96429014,0.072344884,-0.0692005,0.9663326999999999,0.021262515,0.05793771,0.9089354,0.051114056,-0.034633,0.9136458000000001,-0.064648435,-0.0016795061528682707,0.26352983713150024,-0.017881888896226883
2,-0.043400075,-0.21283317,-0.21170187,-0.32727706,-0.020949658,0.022993615,-0.08726714599999999,0.29563043,-0.10694213,0.09032979,0.26705012,0.06371658,0.033861533,-0.16623883,0.021043162999999997,0.21333656,-0.34183908,-0.33671984,-0.43961138,0.9326783000000001,-0.41864797,-0.2138074,0.8432493000000001,-0.31799629999999995,-0.023178376,0.7861266,-0.13233903,0.116046935,0.8091024,0.073910646,0.13985729,0.98783445,0.266921,0.06435253,1.172375,0.44064957,0.04286487,0.8273339,-0.023072455,0.09171371,1.0259279000000001,-0.03573122,-0.05022273,1.0030185,0.030834477000000002,0.009972851999999999,1.0209382,0.03948472,-0.017919652,1.0201874,-0.021759115,0.09643234,0.9581385,0.046950437000000005,0.034055695,0.9561975,-0.09247869,0.0015313215553760526,0.28134027123451233,-0.021612774580717087
3,-0.042890448,-0.18903187,-0.17538202,-0.35529116,0.010982337,0.011396975,-0.07879697,0.2927804,-0.115871444,0.08464827400000001,0.26488867,0.07081785,0.03313636,-0.16998546,0.020758625,0.22893633,-0.36778253,-0.32255286,-0.42062658,0.9340582000000001,-0.44195777,-0.1972382,0.8368205,-0.3384176,-0.016394772,0.7808695,-0.139373,0.11438946400000001,0.8023638000000001,0.07890916,0.14594641,0.9683559000000002,0.28472292,0.08003173,1.1454514,0.4720303,0.04452104,0.8224581,-0.024288066,0.08918906,1.0226278,-0.03285343,-0.050933007,0.9943528,0.0349847,0.009214889,1.0128235,0.043405734,-0.01990138,1.014432,-0.017312605,0.09634231,0.95142555,0.04628463,0.031713255,0.95479655,-0.09182701,0.0029256530106067657,0.2788345217704773,-0.022526796907186508
4,-0.048775904,-0.15221404,-0.21229696,-0.30486825,-0.028552308999999998,0.08080844599999999,-0.11097111,0.2987283,-0.08008835,0.1110874,0.27785453,0.02850437,0.07516102,-0.15259999,0.063631095,0.17514643,-0.29886103,-0.33040833,-0.5071435000000001,0.927474,-0.31137659999999995,-0.2672837,0.8392014999999999,-0.2650152,-0.054297517999999996,0.8035213000000001,-0.102820046,0.14025165,0.8174640000000001,0.054447300000000004,0.21935736,0.9998113999999999,0.22516781,0.22338668,1.1960952,0.40151364,0.03990467,0.8399848,-0.012996482,0.07124448,1.045213,-0.03197249,-0.026026895,1.0091654,0.0883732,0.031196268,1.030371,0.07096732,-0.020754881,1.0311059999999999,0.028208885,0.114319265,0.97295356,0.035282827999999995,-0.0038242786999999998,0.97442055,-0.06428477,5.8144330978393555e-05,0.2882913947105408,-0.025791987776756287
5,-0.03232914,-0.16129684,-0.17950538,-0.33340815,-0.009043252,0.05807333,-0.10153183,0.29746413,-0.09494009,0.1022862,0.27467006,0.04674391,0.082053535,-0.15965039,0.008915143,0.23594372,-0.343186,-0.36240703,-0.47493145,0.9330632,-0.35184118,-0.23009798,0.8459468000000001,-0.31137859999999995,-0.031686522,0.8044541999999999,-0.12668262,0.15019694,0.814072,0.04937002,0.24092674,0.98606974,0.23065111,0.23932838,1.1751426,0.4183013,0.055387374,0.8396339,-0.028251212,0.09100587,1.0436610999999998,-0.049147442,-0.011577266999999999,1.0116184000000001,0.06874868,0.047067835999999995,1.0309065999999998,0.05291524,-0.0036042687,1.0328853999999998,0.008446842,0.12932684,0.9705528,0.020319087,0.014814936,0.9748319,-0.0832304,0.0003771819174289704,0.28606709837913513,-0.024098088964819908
6,-0.046475098,-0.12943012,-0.16097571,-0.3537218,0.024201527,0.06822656,-0.0992202,0.29853302,-0.09926738,0.100836486,0.27144024,0.05074995,0.086415656,-0.1607269,-0.015644984,0.26708287,-0.35760665,-0.37482312,-0.46179026,0.94098526,-0.35615125,-0.21687901,0.8476068999999999,-0.31475359999999997,-0.024579745,0.8061965999999999,-0.121602505,0.15279676,0.81472945,0.053770486,0.2538155,0.9926927,0.2253931,0.2743055,1.1869464,0.40995459999999995,0.059254747,0.8400453000000001,-0.020952811000000002,0.089063585,1.0459332000000001,-0.03668683,-0.0012012506,1.0078738,0.08984980000000001,0.055829722000000005,1.0278991,0.068861365,0.00057493895,1.0321118,0.030140313999999998,0.13376299,0.96951413,0.024780445,0.009141846,0.9786154,-0.066186406,0.0008081421256065369,0.28498661518096924,-0.02425871416926384
7,-0.042053003,-0.13975511,-0.18896949999999998,-0.34657294,0.0051679374,0.050514143,-0.09855844,0.30057415,-0.09893654,0.09971433,0.27198762,0.05149223,0.08264116,-0.1605383,-0.0056581995,0.2620036,-0.36378375,-0.35995007,-0.46336819999999995,0.9396479,-0.33629963,-0.21643242,0.8474064,-0.31075275,-0.020795954,0.8070649999999999,-0.12035383,0.15818523,0.81341535,0.05693128,0.26553255,0.9879408000000002,0.22812475,0.28680938,1.1840918,0.40983483,0.064241156,0.8405800999999999,-0.019463921000000002,0.099118575,1.0447553,-0.039856564,-0.0007555438000000001,1.0133026,0.08121504,0.057817444,1.0320877,0.0637026,0.005795505,1.0345782,0.020614184,0.13872561,0.9709996,0.028660985,0.021232817,0.9764608,-0.072024114,0.0005779452621936798,0.2862808704376221,-0.023722156882286072
8,-0.020715301999999998,-0.13914625,-0.18214618,-0.34714997,0.0006240483,0.03491709,-0.0931126,0.30141628,-0.106899396,0.09379641,0.27158687,0.06006072,0.089827105,-0.16091584,-0.020588135,0.31837209999999994,-0.31718835,-0.37513578,-0.42024034,0.9306755999999999,-0.36960843,-0.17346057,0.8364754000000001,-0.34319216,-0.0015075336,0.81133044,-0.1275956,0.15870879999999998,0.8176454000000001,0.064818494,0.25274873,0.98534095,0.25338948,0.23648971,1.1761343,0.44305659999999997,0.073484644,0.8449808000000001,-0.019383986000000002,0.11317674,1.0472627,-0.043588935999999995,0.012079645,1.0216675,0.07868364,0.07142851,1.0378733,0.060646247,0.0192283,1.0418756,0.017725658000000002,0.14968938,0.9728888000000001,0.026347238999999998,0.03188148,0.9812161,-0.07454269,0.000341903418302536,0.2865015864372253,-0.02341933734714985
9,-0.015685456,-0.12001718,-0.19301009,-0.3644394,0.00929082,-0.0036808802,-0.08792803,0.30178540000000004,-0.1122535,0.09070873,0.2726176,0.06469741,0.09335378,-0.16475105,0.01086838,0.36315054,-0.31241983,-0.32015866,-0.4273553,0.9161565999999999,-0.34435084,-0.17806703,0.8204256999999999,-0.34358358,0.0005194226000000001,0.80904603,-0.13027039,0.16042222,0.81835735,0.06222949999999999,0.2679897,0.9913931999999999,0.24000575,0.26607284,1.1956944,0.41820458,0.07416678,0.8445615,-0.020667106,0.10602437,1.048999,-0.043451875,0.0060775075,1.0187804,0.07901147,0.06482198,1.037447,0.061046574000000006,0.012462093999999998,1.0395317,0.01804028,0.14558855,0.9756241,0.026270417,0.027276259,0.9797405999999999,-0.07470555599999999,0.0013903528451919556,0.28720152378082275,-0.023778047412633896
10,-0.0046969606,-0.15447606,-0.12685835,-0.37000558,0.012297049,-0.01203432,-0.07978678,0.28743476,-0.12142624,0.08426393,0.27165127,0.07229287,0.08280384,-0.17235106,0.059185367,0.39923283,-0.27212587,-0.24585424,-0.39845785,0.88761926,-0.41636837,-0.15097761,0.7973468,-0.37562853,-0.0015367987,0.79226273,-0.13975525,0.14005688,0.8033626,0.06631628,0.23360938,0.9677329,0.25962594,0.20962961,1.1600705,0.44861954,0.062321417000000004,0.82872605,-0.024131969,0.09655678,1.0294878,-0.04453574,-0.0016634744,0.9986934999999999,0.07831508,0.05683349,1.0162412,0.06035080599999999,0.00380289,1.0217043,0.018766206,0.13336612,0.9537294,0.021404631,0.015065466999999999,0.9650109,-0.075764865,0.002238575369119644,0.2795430123806,-0.024566683918237686
