frame,Ankle.R_x,Ankle.R_y,Ankle.R_z,Knee.R_x,Knee.R_y,Knee.R_z,Hip.R_x,Hip.R_y,Hip.R_z,Hip.L_x,Hip.L_y,Hip.L_z,Knee.L_x,Knee.L_y,Knee.L_z,Ankle.L_x,Ankle.L_y,Ankle.L_z,Wrist.R_x,Wrist.R_y,Wrist.R_z,Elbow.R_x,Elbow.R_y,Elbow.R_z,Shoulder.R_x,Shoulder.R_y,Shoulder.R_z,Shoulder.L_x,Shoulder.L_y,Shoulder.L_z,Elbow.L_x,Elbow.L_y,Elbow.L_z,Wrist.L_x,Wrist.L_y,Wrist.L_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Nose_x,Nose_y,Nose_z,Eye.L_x,Eye.L_y,Eye.L_z,Eye.R_x,Eye.R_y,Eye.R_z,Ear.L_x,Ear.L_y,Ear.L_z,Ear.R_x,Ear.R_y,Ear.R_z,hip.Center_x,hip.Center_y,hip.Center_z
1,-0.21183166,-0.48174667,-0.30174983,-0.15921651,-0.13187923,-0.060979728,-0.123146296,0.28265414,-0.025059792999999997,0.11201130000000001,0.28079307,0.0019302244,0.14127149,-0.13446996,-0.017041694,0.20082304,-0.5082823000000001,-0.22196127,-0.6460475999999999,0.8899334999999999,0.00253389,-0.40839380000000003,0.8034060000000001,-0.049297024,-0.13911644,0.7733954000000001,-0.025378373,0.12830262,0.77408755,0.010425916,0.39412862,0.80537724,0.028466646,0.61517614,0.90960306,0.10935354,-0.006737649399999999,0.8137994000000001,0.013136385,-9.158242000000001e-05,1.0265872,0.03593333,-0.012400991,0.9428173000000001,0.16867667,0.024593491000000002,0.9780058,0.13196401,-0.041609414,0.98001325,0.12570228,0.07231727,0.95066005,0.042976912,-0.07800913,0.9552858,0.02701646,-0.005567498505115509,0.28172361850738525,-0.011564784683287144
2,-0.18637393,-0.49229228,-0.26631823,-0.14412907,-0.13683286,-0.03599749,-0.12247117,0.28269708,-0.017308237,0.11304011,0.27940214,-0.004754432,0.1204578,-0.13881459999999998,-0.014691123,0.14708997,-0.5139222,-0.21886568,-0.65642357,0.7801609,0.025010334,-0.41070968,0.73591745,-0.02883067,-0.14163528,0.7686914,-0.015455331000000001,0.1314905,0.7685791000000001,0.0041515706,0.39750367,0.72476566,-0.008656523000000001,0.63399094,0.77917933,0.06524096,-0.006235023,0.81333834,0.017441973,-0.0049128290000000005,1.0258938,0.042806915999999993,-0.016108345,0.9399948,0.1742876,0.02025098,0.97704625,0.13870773,-0.04585508,0.97661024,0.13136704,0.070315585,0.9526616,0.050120186,-0.07943627,0.9518123,0.03260085,-0.004715528339147568,0.28104960918426514,-0.011031334288418293
3,-0.169738,-0.5061296,-0.2409261,-0.13206574,-0.13996822,-0.022385952999999997,-0.12280542,0.28473258,-0.014072137,0.113698125,0.27944353,-0.0091853365,0.11029776,-0.14172676,-0.008276693,0.11767867,-0.51635945,-0.22061041,-0.6543284,0.66388464,0.024631089,-0.40193665,0.68518853,-0.020675862,-0.14235845,0.7659665,0.00024765264,0.13763125,0.763903,0.016653003,0.38952374,0.66415197,-0.013448838000000001,0.6413893,0.62617004,0.014136956000000001,-0.0038298620000000003,0.8131169,0.03553695,-0.012369305,1.0250174,0.072540045,-0.024775092000000002,0.9314393,0.1987203,0.01112129,0.9723358,0.16700655,-0.054418884,0.9686427,0.15610911,0.06703933,0.9552350000000001,0.07987310000000002,-0.081588544,0.9476828000000002,0.054826252,-0.004553645849227904,0.282088041305542,-0.011628736741840841
4,-0.13713731,-0.49521756,-0.26621938,-0.12377439400000001,-0.13514088,-0.03732171,-0.12340678,0.2911458,-0.017668687,0.11345707,0.28401548,-0.0055307117000000005,0.095705435,-0.13837646,-0.016726984,0.09061319999999999,-0.4976929,-0.25125808,-0.62824166,0.60237855,0.034677185,-0.38790375,0.65782416,-0.036038123,-0.14654973,0.7762161,0.008300534,0.13537878,0.77808666,0.029376442000000003,0.3752906,0.6559265000000001,-0.020701172,0.62147814,0.59208244,0.0047984663,-0.009082069,0.82673943,0.049902435,-0.031802066000000004,1.0388324,0.09349565,-0.0460755,0.9397120999999999,0.21634598,-0.010891177,0.98414487,0.1880321,-0.07534699,0.9762614,0.17228279,0.05302258,0.9736985,0.10415857,-0.09449343,0.9567193000000002,0.06814439,-0.004974856972694397,0.2875806391239166,-0.011599699035286905
5,-0.10507786,-0.4983856,-0.25996965,-0.10909258599999999,-0.13459434,-0.035619482,-0.124053754,0.2937585,-0.017692719,0.11294216,0.29105523,-0.006579225,0.092359684,-0.13346419,-0.015809197,0.08236423,-0.49450067,-0.24794863,-0.5818566,0.5178887,0.0360943,-0.36191540000000005,0.6149073,-0.05282381,-0.15918468,0.78461456,0.0047384435,0.124441735,0.7914248,0.015620153999999999,0.3288585,0.6252941,-0.058644685999999994,0.5590659,0.5146313,-0.042474777000000005,-0.019188097,0.84136176,0.044185395999999995,-0.037562404,1.0552031000000002,0.08553569,-0.03521829,0.95958304,0.2132584,-0.0038681133,1.0027388000000002,0.17802215,-0.07031274,0.9952322,0.17208876,0.047700454,0.98869324,0.08614145,-0.10510710000000001,0.97208416,0.07174178,-0.00555579736828804,0.2924068570137024,-0.01213597133755684
6,-0.08149101,-0.47772098,-0.27850366,-0.105029844,-0.13681395,-0.019292923,-0.124331355,0.2949823,-0.01719692,0.11272383,0.29711077,-0.009812314,0.10106681,-0.13049117,0.0068069124,0.08053878,-0.47640875,-0.24913867,-0.54697007,0.4263822,0.04923635,-0.35391197,0.58145845,-0.02685508,-0.16983457,0.779914,0.015989218,0.12524074,0.7862005,0.015375429,0.29806107,0.58722734,-0.06763579,0.49298885,0.41895790000000005,-0.059044346,-0.02178001,0.84309185,0.049404733,-0.02809725,1.0617286,0.09624235,-0.034148157,0.9610624,0.21913797,0.00067563634,1.0036862,0.18582776,-0.06610992,1.0008271999999998,0.17865077,0.05301184,0.9901034,0.09430015,-0.10065095,0.9836700999999999,0.07716737,-0.0058037638664245605,0.29604655504226685,-0.013504616916179657
7,-0.0698829,-0.49825284,-0.29743207,-0.10264115,-0.15262705,-0.019781135,-0.12676229,0.29005605,-0.020642515,0.1159552,0.29262722,-0.011570165,0.10232657,-0.14519234,0.02008647,0.07800159,-0.49221980000000004,-0.25996155,-0.50175905,0.33638424,0.05122442,-0.3396386,0.53237104,-0.028019408,-0.17450593,0.7606052,0.013060735,0.13254304,0.76458806,0.0069477586,0.28154844,0.53303075,-0.06750931,0.45719296,0.3398393,-0.02888666,-0.018552188,0.8308726000000001,0.04130786,-0.017515356,1.0541399999999999,0.0750705,-0.01366657,0.96129835,0.20386483,0.01891047,1.0007578000000001,0.16437368,-0.04852608,1.0002136000000001,0.1646805,0.06010793,0.9793968000000001,0.06937455,-0.094430394,0.97813565,0.06879037,-0.005403544753789903,0.291341632604599,-0.016106341034173962
8,-0.06560448599999999,-0.56903744,-0.31587726,-0.107606634,-0.19591501,-0.019232046000000003,-0.13047281,0.2674812,-0.018334018,0.123451345,0.26584673,-0.017656067,0.10289557,-0.19288056,0.02176862,0.07080584,-0.5583229000000001,-0.2895605,-0.4386892,0.22264174,0.0540567,-0.30510455,0.4507475,-0.03378635,-0.16313736,0.7054719,0.024500255,0.14090952,0.7111584,0.0034374539000000003,0.25795454,0.45417526,-0.08679399,0.41315407,0.23668061,-0.023446513,-0.007749446700000001,0.7784973000000001,0.04620073400000001,-0.01276888,0.9977785,0.08369443,-0.005564533000000001,0.90113443,0.20734608,0.02562363,0.94369304,0.17091028,-0.041678227000000005,0.9406143,0.17098662,0.065988906,0.9273415999999999,0.07685939,-0.084351845,0.9212544,0.07598632599999999,-0.003510732203722,0.26666396856307983,-0.01799504272639751
9,-0.06320154,-0.59435636,-0.31396806,-0.0955016,-0.21573862,-0.006876488,-0.13190386,0.2530016,-0.015417998999999998,0.1255587,0.25584266,-0.023679651,0.11388409,-0.20528665,0.051386796,0.08197367,-0.5830979000000001,-0.26001105,-0.37258586,0.15018287,0.036871443999999996,-0.28474790000000005,0.40832815,-0.037331199999999995,-0.165845,0.67633367,0.021246387000000002,0.13657917,0.6895151999999999,0.0016752379,0.24503669,0.42825246,-0.09094711400000001,0.34313777,0.17852873,-0.016287878000000002,-0.013126105,0.7515284999999999,0.04212260599999999,-0.01994516,0.9657652,0.075355016,-0.019361613,0.870915,0.19966029,0.013566192,0.9133773000000001,0.16533467,-0.053453725,0.90980864,0.16133386,0.058766127,0.89652944,0.07463247,-0.089149095,0.8895726,0.06528436,-0.0031725764274597172,0.254422128200531,-0.019548825919628143
10,-0.07477153,-0.60482764,-0.31700593,-0.09061851,-0.21603839,-0.017462848,-0.13202724,0.25362045,-0.012633703,0.12608242,0.2541218,-0.025670221,0.107775055,-0.21040991,0.03923107,0.07119341,-0.5820420000000001,-0.28169966,-0.3274395,0.14011745,0.025594992999999996,-0.26695728,0.40564695,-0.05358198,-0.16221973,0.6788761999999999,0.006386826700000001,0.1419239,0.6892555,-0.009092066999999999,0.23839727,0.41904122,-0.09091296,0.30402744,0.15481612,-0.024203092000000002,-0.008840376,0.7536349,0.027902028,-0.018909262,0.96769834,0.060419302,-0.012651781,0.8730199000000001,0.18503995,0.01847009,0.91597736,0.14950188,-0.04864336599999999,0.9111818000000002,0.14765081,0.06114296,0.8997116,0.05737424,-0.08696152,0.8899268,0.05259694,-0.002972409129142761,0.2538711428642273,-0.01915196143090725
