frame,Ankle.R_x,Ankle.R_y,Ankle.R_z,Knee.R_x,Knee.R_y,Knee.R_z,Hip.R_x,Hip.R_y,Hip.R_z,Hip.L_x,Hip.L_y,Hip.L_z,Knee.L_x,Knee.L_y,Knee.L_z,Ankle.L_x,Ankle.L_y,Ankle.L_z,Wrist.R_x,Wrist.R_y,Wrist.R_z,Elbow.R_x,Elbow.R_y,Elbow.R_z,Shoulder.R_x,Shoulder.R_y,Shoulder.R_z,Shoulder.L_x,Shoulder.L_y,Shoulder.L_z,Elbow.L_x,Elbow.L_y,Elbow.L_z,Wrist.L_x,Wrist.L_y,Wrist.L_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Nose_x,Nose_y,Nose_z,Eye.L_x,Eye.L_y,Eye.L_z,Eye.R_x,Eye.R_y,Eye.R_z,Ear.L_x,Ear.L_y,Ear.L_z,Ear.R_x,Ear.R_y,Ear.R_z,hip.Center_x,hip.Center_y,hip.Center_z
1,-0.059007887,-0.5523636,-0.23084939,-0.113542475,-0.18450406,0.05723207,-0.1309252,0.26864764,-0.021800172000000003,0.12310209999999999,0.27088344,-0.023123976,0.11075299,-0.17502688,0.07624771,0.09216106,-0.5416039,-0.22361833,-0.46337458,0.269439,0.08252595,-0.33910534,0.484375,-0.03491105,-0.16640948,0.71543777,0.029960621,0.13798502,0.7230518,0.0014639767,0.28503123,0.4926927,-0.10615907,0.43313938,0.30236727,0.015707266,-0.010651613999999998,0.7816856,0.050147735,-0.013727855,0.9946216,0.10580798,-0.009069379,0.8867662000000001,0.21978040000000001,0.022864272999999997,0.93210566,0.18804769,-0.04440407,0.92931235,0.1863828,0.06548952,0.9248625,0.09354546,-0.08584451,0.9191241,0.08948060000000001,-0.003911547362804414,0.2697655558586121,-0.02246207371354103
2,-0.05902584,-0.5523414000000001,-0.23084815,-0.11355019999999999,-0.18448873,0.057233665,-0.13092433,0.26865947,-0.021803224,0.12310067,0.27089328,-0.023121332999999997,0.11074579,-0.17501186,0.07625796,0.09215325,-0.5415853,-0.22360215,-0.46336459999999996,0.26944762,0.08249033,-0.339099,0.4843918,-0.034933485,-0.16641347,0.7154585,0.029948369,0.1379886,0.72306836,0.0014590267000000002,0.28501952,0.49268997,-0.106143765,0.43311796,0.3023593,0.015725878999999998,-0.010649757,0.7817101,0.05013708,-0.013716566000000001,0.9946553,0.1057693,-0.009012365999999999,0.8868195,0.21976067,0.022908857,0.93215334,0.18800561,-0.04436066,0.9293603000000001,0.18636933,0.065495245,0.92489266,0.09348715,-0.0858429,0.9191539000000001,0.08948411,-0.003911830484867096,0.2697763741016388,-0.022462278604507446
3,-0.04566239,-0.58314514,-0.26223,-0.08797064,-0.21213232,0.049513377000000004,-0.1326844,0.25409016,-0.014983763999999998,0.1264112,0.25612524,-0.029574692000000003,0.10910878,-0.19659089,0.09321966,0.06564361,-0.55215955,-0.23849404,-0.36941206,0.18698364,0.085905254,-0.29567933,0.4273467000000001,-0.03879349,-0.15648120000000001,0.68587023,0.019900827,0.14750510000000003,0.6895571999999999,-0.007415465,0.2640403,0.43062586,-0.09840829,0.34814307,0.20593463,0.038733877,-0.00043682940000000004,0.75373775,0.0369271,-0.0015695789000000002,0.9664687,0.086365074,0.0031500985,0.86005276,0.20041582,0.03519747,0.9050138000000001,0.16878998,-0.032002226,0.90279293,0.1678056,0.075756654,0.896541,0.074849956,-0.07294198,0.8924857,0.072235644,-0.003136597573757172,0.25510770082473755,-0.022279229015111927
4,-0.04796467,-0.58495456,-0.26526320000000003,-0.08548028,-0.21308118,0.046586115,-0.13260487,0.25348088,-0.013547766000000001,0.12622754,0.25623888,-0.030445722999999997,0.112910524,-0.19805823,0.08666595,0.06908649,-0.5543636,-0.24484134,-0.36308864,0.17943464,0.072446994,-0.2935475,0.4258919,-0.042932767000000004,-0.15764132,0.6854216,0.018168507,0.14603010000000002,0.6902005,-0.01027892,0.2625533,0.43097648,-0.100219615,0.34688854,0.20612264,0.03671919,-0.0020680576999999997,0.75397766,0.03444999,-0.0059783673,0.96678317,0.082370155,-0.0017532837,0.8612245999999999,0.19726452,0.030176558,0.90646994,0.16591609,-0.03692818,0.90323436,0.1636891,0.07264895,0.89788127,0.07278655,-0.0758422,0.89170146,0.067524,-0.0031886622309684753,0.2548598647117615,-0.021996743977069855
5,-0.055588327,-0.59370047,-0.28990763,-0.081779845,-0.21485844,0.019055458,-0.13297808,0.25542334,-0.011910513999999999,0.12688982,0.25571674,-0.03001025,0.108810775,-0.20472074,0.06801355,0.06865691,-0.5456681,-0.28236666,-0.29778764,0.15364768,0.058391068,-0.26435240000000004,0.41405929999999996,-0.045877602,-0.15485793,0.68611735,0.014237024,0.15152949,0.6883549,-0.009283299,0.24043564,0.41363084,-0.08531387,0.27237734,0.17088643,0.04753072,0.0023642834,0.7567991999999999,0.031499013,-6.631814000000001e-05,0.97175086,0.07692049,0.010162731999999999,0.8670867,0.19276793,0.04057052,0.9119289,0.15899449999999998,-0.02668019,0.90899956,0.16069269,0.07767614,0.9021561,0.063604504,-0.07117073,0.89648306,0.06658663599999999,-0.00304412841796875,0.25557005405426025,-0.0209603812545538
6,-0.06585509,-0.586809,-0.3113054,-0.08203049999999999,-0.21527272,0.011028971499999998,-0.13382034,0.25798693,-0.012136728000000001,0.12770043,0.25772178,-0.031567063,0.11060691,-0.20156758,0.08410977,0.062886804,-0.53023595,-0.27854902,-0.24371030000000002,0.14148952,0.06972228,-0.24466741,0.4031106,-0.041984472,-0.15946776,0.68714285,0.0050007346999999995,0.14895362,0.693611,-0.021546773999999998,0.21691334,0.4113888,-0.095461585,0.22809808,0.15580697,0.020639768,-0.0020769182999999997,0.7635112,0.018875698,-0.009064079000000001,0.9817338,0.055952597,0.004298545,0.8820162,0.17641617,0.033589564,0.9261528,0.14025582,-0.033760935,0.9218528,0.1426044,0.070626475,0.91295433,0.04479144,-0.07890206599999999,0.90413624,0.04901533,-0.003059953451156616,0.2578543424606323,-0.02185189537703991
7,-0.055706835999999996,-0.5808109,-0.33005476,-0.08032712,-0.21501383,-0.0018524570999999999,-0.133945,0.25886479999999995,-0.011342052,0.1275731,0.25911263,-0.03269896,0.115332015,-0.19520265,0.099688366,0.057790037,-0.52632517,-0.25780696,-0.21749008,0.14915852,0.08767224,-0.23855546,0.40355727,-0.037059747000000004,-0.15847456,0.6899385,0.0029907655,0.14938337,0.6952262,-0.030882392,0.21083793,0.4115137,-0.10481395,0.22122423,0.16091270000000002,0.020770716,-0.0006647091400000001,0.7668125,0.011783557,-0.0077956454000000005,0.9862098,0.043265693,0.0074748294,0.88984466,0.16644911,0.03614306,0.9331863000000001,0.12872405,-0.031206544,0.9285561,0.13190822,0.07236828,0.9174634,0.0331755,-0.07727298,0.90796304,0.039219662999999995,-0.003185950219631195,0.2589887082576752,-0.022020505741238598
8,-0.058542456,-0.58652407,-0.30388865,-0.08338434,-0.21527536,0.017362576,-0.13347729,0.25784147,-0.011626576000000001,0.12734492,0.25674027,-0.032537803,0.11063640000000001,-0.20011045,0.089652635,0.06326784,-0.5426711999999999,-0.26016300000000003,-0.24358379999999996,0.14669321,0.07853604,-0.24641888,0.40427274,-0.041161034,-0.15613471,0.6869083,0.0031847078000000004,0.15092412,0.6923931999999999,-0.0289793,0.22581834,0.41273206,-0.10661248,0.2536866,0.15842529,0.008501537,0.0014142822,0.7617792,0.014805183000000001,-0.0029415548999999997,0.9788833,0.060420155999999996,0.012388183,0.87360287,0.17541033,0.041188195,0.9190408000000001,0.14073387,-0.026054427,0.9152099,0.14453813,0.07559916400000001,0.91021705,0.04399532,-0.07361619999999999,0.9024066999999999,0.05149659,-0.0030661821365356445,0.25729086995124817,-0.022082189098000526
9,-0.06643377,-0.6085579000000001,-0.2987765,-0.09288806,-0.21546172,-0.0038281283,-0.13216901,0.25649315,-0.009600538,0.12570596,0.25682876,-0.03127,0.12249309,-0.20063312,0.071615,0.08636947,-0.5797445999999999,-0.24134888,-0.33570933,0.18751645,0.077006474,-0.27809355,0.43081203,-0.053344402,-0.14951919,0.6936445,0.012620951000000002,0.15379246,0.6928774000000001,-0.021613643999999998,0.26155229999999996,0.42870182,-0.11326554400000001,0.3517263,0.20844829999999998,0.03009322,0.008008793,0.7598703,0.026993233999999998,0.00946056,0.9723831000000001,0.08121882400000001,0.017164008999999997,0.86297053,0.19300923,0.048387482999999995,0.90878236,0.1613941,-0.018925633,0.9064697,0.16193703,0.08691161,0.9025377,0.066039145,-0.062345482,0.89833206,0.06680626,-0.003231525421142578,0.25666093826293945,-0.02043526992201805
10,-0.100954175,-0.55157006,-0.27626985,-0.12510256,-0.17375663,-0.0025652924,-0.12964167,0.28239346,-0.019449688,0.120983325,0.27811092,-0.018991975,0.11696376,-0.17032212,0.03181517,0.11255213,-0.53423816,-0.26529840000000005,-0.37892659999999995,0.2938888,0.09576809,-0.29569850000000003,0.49645495,-0.06510209,-0.15661843,0.7414528,0.011751412,0.14949793,0.74723756,-0.0061415937,0.29127598,0.5115197,-0.106469445,0.4379977,0.3296644,0.025829567,-0.00045568496,0.80898196,0.03842187,-0.0066112895,1.0247344999999999,0.09832793,-0.005575080400000001,0.9142231,0.21157923,0.027208656,0.96067023,0.18138164,-0.040060717999999995,0.9568745999999999,0.17637736,0.075596474,0.9554654,0.08806088,-0.07747162,0.94749343,0.076376416,-0.004329171031713486,0.2802521884441376,-0.019220832735300064
