frame,Ankle.R_x,Ankle.R_y,Ankle.R_z,Knee.R_x,Knee.R_y,Knee.R_z,Hip.R_x,Hip.R_y,Hip.R_z,Hip.L_x,Hip.L_y,Hip.L_z,Knee.L_x,Knee.L_y,Knee.L_z,Ankle.L_x,Ankle.L_y,Ankle.L_z,Wrist.R_x,Wrist.R_y,Wrist.R_z,Elbow.R_x,Elbow.R_y,Elbow.R_z,Shoulder.R_x,Shoulder.R_y,Shoulder.R_z,Shoulder.L_x,Shoulder.L_y,Shoulder.L_z,Elbow.L_x,Elbow.L_y,Elbow.L_z,Wrist.L_x,Wrist.L_y,Wrist.L_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Nose_x,Nose_y,Nose_z,Eye.L_x,Eye.L_y,Eye.L_z,Eye.R_x,Eye.R_y,Eye.R_z,Ear.L_x,Ear.L_y,Ear.L_z,Ear.R_x,Ear.R_y,Ear.R_z,hip.Center_x,hip.Center_y,hip.Center_z
1,0.35231084,-0.472704,0.11564215,0.19492732,-0.06450266,0.12711893,-0.06355395,0.24936444,0.09087632,0.056416694,0.29451355,-0.12376146,-0.08285580599999999,-0.05470012,-0.30792066,-0.44564438,-0.1006897,-0.57787436,-0.49007726,0.47920390000000007,0.06138052,-0.33614758,0.6831617,0.10159967,-0.070851564,0.7366010999999999,0.17652705,0.17026344,0.72007096,0.0040085074,0.34750965,0.5330946999999999,-0.09913081,0.39615816,0.56362265,0.14608802,0.072192065,0.76549745,0.12562546,0.12242997,0.9364402000000001,0.24012448,0.15620191,0.7913116,0.29129276,0.17882366,0.84566945,0.27079840000000005,0.11715569,0.84082144,0.29485196,0.18135563,0.8790642,0.1730612,0.04301519,0.87046313,0.22777657,-0.003568628802895546,0.2719389796257019,-0.016442570835351944
2,0.31961495,-0.481202,0.16182047,0.15361579,-0.07485689,0.14601326,-0.07592623,0.25591934,0.08429091400000001,0.06892975400000001,0.29984576,-0.11683151,-0.08168425,-0.02854076,-0.3371903,-0.4352277,0.055698372,-0.6117901,-0.46573165,0.43108964,0.10626905,-0.32656997,0.6531276,0.11519006,-0.072525986,0.73739016,0.20566735,0.16659391,0.7394326999999999,0.028121091,0.26683456,0.5584951,-0.16272858,0.41907534,0.45836076,0.016093781,0.07299624,0.77552986,0.1590056,0.11388055,0.95374435,0.2665574,0.15280163,0.8141681,0.33166245,0.17371860000000003,0.86815035,0.30655509999999997,0.111004725,0.8624603000000001,0.32919732,0.17888147,0.8934763000000001,0.20507883,0.036974902999999996,0.8819811,0.25697327,-0.003498237580060959,0.27788254618644714,-0.016270298510789868
3,0.31961495,-0.481202,0.16182047,0.15361579,-0.07485689,0.14601326,-0.07592623,0.25591934,0.08429091400000001,0.06892975400000001,0.29984576,-0.11683151,-0.08168425,-0.02854076,-0.3371903,-0.4352277,0.055698372,-0.6117901,-0.46573165,0.43108964,0.10626905,-0.32656997,0.6531276,0.11519006,-0.072525986,0.73739016,0.20566735,0.16659391,0.7394326999999999,0.028121091,0.26683456,0.5584951,-0.16272858,0.41907534,0.45836076,0.016093781,0.07299624,0.77552986,0.1590056,0.11388055,0.95374435,0.2665574,0.15280163,0.8141681,0.33166245,0.17371860000000003,0.86815035,0.30655509999999997,0.111004725,0.8624603000000001,0.32919732,0.17888147,0.8934763000000001,0.20507883,0.036974902999999996,0.8819811,0.25697327,-0.003498237580060959,0.27788254618644714,-0.016270298510789868
4,0.31961495,-0.481202,0.16182047,0.15361579,-0.07485689,0.14601326,-0.07592623,0.25591934,0.08429091400000001,0.06892975400000001,0.29984576,-0.11683151,-0.08168425,-0.02854076,-0.3371903,-0.4352277,0.055698372,-0.6117901,-0.46573165,0.43108964,0.10626905,-0.32656997,0.6531276,0.11519006,-0.072525986,0.73739016,0.20566735,0.16659391,0.7394326999999999,0.028121091,0.26683456,0.5584951,-0.16272858,0.41907534,0.45836076,0.016093781,0.07299624,0.77552986,0.1590056,0.11388055,0.95374435,0.2665574,0.15280163,0.8141681,0.33166245,0.17371860000000003,0.86815035,0.30655509999999997,0.111004725,0.8624603000000001,0.32919732,0.17888147,0.8934763000000001,0.20507883,0.036974902999999996,0.8819811,0.25697327,-0.003498237580060959,0.27788254618644714,-0.016270298510789868
5,0.23103420000000002,-0.5308441999999999,0.046983458,0.10981026,-0.10616241400000001,0.12442700599999999,-0.096252404,0.26722234,0.07107372,0.07890119999999999,0.31582293,-0.10373346,0.07650317,-0.07502851,-0.2990242,-0.20370297,-0.050087854,-0.66011393,-0.29220343,0.32423592,0.10457877,-0.31634867,0.5913871999999999,0.10971294,-0.09376645,0.7431249,0.21395257,0.15419151,0.75408655,0.013489872,0.19527948,0.5450833,-0.18739395,0.34207556,0.34458646,-0.09539838,0.06280035,0.79698306,0.15663724,0.12483788,0.980628,0.27155050000000003,0.16753122,0.83605623,0.32354867,0.18609138,0.8914700999999999,0.29706421,0.12644371,0.8862293,0.32809374,0.17954032,0.9222369,0.19556148,0.0409417,0.91160536,0.2669566,-0.008675601333379745,0.2915226221084595,-0.016329869627952576
6,0.28091156,-0.5258149999999999,0.06407232,0.11170941,-0.11379859,0.09881883,-0.08973954599999999,0.26264899999999997,0.07673879,0.07534032,0.317456,-0.106734075,0.041712247,-0.061793514,-0.32198742,-0.2767697,0.002003035,-0.6434300999999999,-0.2737148,0.34142822,0.096816935,-0.31638459999999996,0.604578,0.10234539,-0.09479148,0.738182,0.22624615,0.15106918,0.7556299,0.028721767999999998,0.19298734,0.55115634,-0.17552910000000002,0.33831874,0.35001302,-0.08497227,0.060111534,0.7931924,0.1719935,0.1195971,0.97570485,0.28714854,0.16404776,0.83153665,0.33955088,0.18214266,0.88704485,0.31321454,0.12253589999999999,0.88109034,0.3442642,0.17528705,0.9176224000000001,0.21169810000000003,0.0372111,0.9054978000000001,0.2827051,-0.007199611514806747,0.29005250334739685,-0.014997642487287518
7,0.11884237,-0.5864914999999999,-0.023474822000000003,0.07402383,-0.14183299,0.06919611,-0.095306985,0.27063432,0.07146664,0.079414025,0.30942407,-0.106609866,0.15392758,-0.12455350000000001,-0.1726383,-0.06508276,-0.30666032,-0.5343808000000001,-0.23020467,0.23910749999999997,0.08240514,-0.25995767,0.50669706,0.07655122,-0.09980689,0.7172859,0.1942336,0.14520702,0.7529583000000001,-0.0047381455,0.15675524,0.5335133000000001,-0.19474438,0.27420607,0.32812688,-0.07529065,0.053998794,0.7910147,0.1392525,0.12197309,0.9745019,0.25858238,0.16735312,0.82843435,0.30044335,0.18428041,0.88481367,0.27483788,0.12714365,0.8783095,0.31016946,0.16942461,0.9205585999999999,0.17613776,0.037614148,0.90627867,0.25753275,-0.007946480065584183,0.2900291979312897,-0.017571613192558292
8,0.11790225,-0.5861717,-0.028672982000000003,0.073327705,-0.14238045,0.0665249,-0.09525007,0.27024165,0.07150113,0.07942952,0.30975434,-0.10622788,0.15440893,-0.12307366,-0.17557454,-0.06199848,-0.30467096,-0.53887045,-0.23272649999999998,0.23705794,0.08096472,-0.26205564,0.5047305999999999,0.07916895,-0.101470456,0.7157488000000001,0.1958686,0.1434297,0.7536783,-0.0027627665999999996,0.15536116,0.5366839,-0.19525343,0.26925683,0.33125505,-0.07305283,0.05193775,0.7902688,0.14134935,0.11922371,0.97238225,0.26317766,0.1642451,0.82575166,0.30335805,0.18137072,0.8824458000000001,0.27863246,0.12400314,0.87550604,0.31346563,0.16718686,0.9195374,0.18034299,0.034891002000000004,0.9042524,0.26060987,-0.007910273969173431,0.28999799489974976,-0.01736337691545486
9,-0.053205207000000004,-0.6277853,-0.29626579999999997,-0.028436635,-0.21419238,-0.029738689,-0.11806317,0.24266022,0.04525733,0.106184326,0.27933463,-0.08720865,0.26963732,-0.13678536,0.04698024,0.11869053,-0.26794323,-0.38597745,-0.15497166,0.12383196,0.22446482,-0.22780842,0.3839807,0.13560650000000002,-0.12401544,0.66463155,0.16304553,0.11296154,0.7071029999999999,-0.029835671,0.09388606,0.4867974,-0.23059109,0.13752902,0.21574017,-0.29311129999999996,0.019894412,0.7457134,0.10526146,0.08686979,0.9302845999999999,0.21719770000000002,0.124719754,0.7851776,0.26008463,0.14512353,0.83928883,0.2343001,0.088178456,0.8367164,0.27032566,0.129141,0.873959,0.13887292,0.0017894879,0.8679888000000001,0.21815951,-0.005939420312643051,0.2609974145889282,-0.020975660532712936
10,-0.0548576,-0.6261806999999999,-0.29206157,-0.028764132,-0.21329294,-0.026551126,-0.11877085,0.24342477,0.044171557,0.10659786,0.27982876,-0.0860282,0.27044609999999997,-0.13730037,0.041214276,0.12067239,-0.2587369,-0.3940249,-0.1630853,0.12129233,0.21405612,-0.22685875,0.3858659,0.13154191,-0.12372768,0.6659584,0.16190566,0.11753945,0.70530534,-0.027164066,0.10271159,0.48073393,-0.22335500000000003,0.14113158,0.20924817,-0.2878522,0.021551274,0.7464395,0.10589785,0.08313434,0.93473285,0.21418622,0.12181239,0.79174614,0.2633583,0.1422183,0.8453493000000001,0.23644322,0.08413255,0.8430448,0.27060062,0.12900102,0.8764049999999999,0.13924605,-0.0008850321,0.87104267,0.21446933,-0.006086494773626328,0.2616267800331116,-0.02092832326889038
