frame,Ankle.R_x,Ankle.R_y,Ankle.R_z,Knee.R_x,Knee.R_y,Knee.R_z,Hip.R_x,Hip.R_y,Hip.R_z,Hip.L_x,Hip.L_y,Hip.L_z,Knee.L_x,Knee.L_y,Knee.L_z,Ankle.L_x,Ankle.L_y,Ankle.L_z,Wrist.R_x,Wrist.R_y,Wrist.R_z,Elbow.R_x,Elbow.R_y,Elbow.R_z,Shoulder.R_x,Shoulder.R_y,Shoulder.R_z,Shoulder.L_x,Shoulder.L_y,Shoulder.L_z,Elbow.L_x,Elbow.L_y,Elbow.L_z,Wrist.L_x,Wrist.L_y,Wrist.L_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Nose_x,Nose_y,Nose_z,Eye.L_x,Eye.L_y,Eye.L_z,Eye.R_x,Eye.R_y,Eye.R_z,Ear.L_x,Ear.L_y,Ear.L_z,Ear.R_x,Ear.R_y,Ear.R_z,hip.Center_x,hip.Center_y,hip.Center_z
1,0.28099298,-0.3984999,0.23975283,0.08376973,-0.16519202,-0.05069622,0.10911636,0.2583178,-0.050039604,-0.11367288,0.27673972,0.012392752,-0.22433716,-0.08078989,-0.17204925,-0.16013107,-0.41103417,0.08143364,0.25494787,0.92997295,-0.33754492,0.3259493,0.71272933,-0.2331343,0.20679092,0.7007107,-0.006072364,-0.0034848657,0.7795714,0.048224743,-0.12172034400000001,0.9605254999999999,-0.09078474,-0.042582612,1.1667733999999998,-0.21375053,0.10900657,0.76865846,0.024392737,0.16045201,0.9516858,0.05990476,0.100335285,0.9324831,-0.08408578,0.09062951,0.95578897,-0.02761072,0.15177055,0.94256437,-0.04983595,0.070480585,0.90247005,0.058837167999999995,0.20604971,0.8726016,0.009717062,-0.002278260886669159,0.26752877235412603,-0.018823426216840744
2,0.25849935,-0.39633214,0.27257186,0.08277671,-0.16404936,-0.030691722,0.11051885,0.25944778,-0.042839564000000004,-0.11549736599999999,0.2743102,0.0040472457,-0.19924259,-0.09036394,-0.18074189999999998,-0.15401596,-0.41679940000000004,0.08024247,0.23020197,0.95312893,-0.3118371,0.315037,0.7382138,-0.21393786,0.19258058,0.70902896,0.0076691373,-0.020020222,0.77862096,0.041774295,-0.12962192,0.9445011000000001,-0.11977535,-0.05331999,1.1482527,-0.2473498,0.093499094,0.7716267,0.02869882,0.13826802,0.9559825000000001,0.064259,0.09518889,0.9318030999999999,-0.084919125,0.078924574,0.95677066,-0.030826315,0.14222525,0.94335735,-0.045390345,0.049302705,0.90593934,0.054473937,0.18934986,0.8759978999999999,0.022184454,-0.0024892576038837433,0.26687899231910706,-0.019396159797906883
3,0.27869429999999995,-0.40075284,0.21351148,0.073479146,-0.16488425,-0.06718003,0.108220324,0.25653613,-0.054399677,-0.11142205,0.2823495,0.017830501999999998,-0.2413966,-0.0668387,-0.16756153,-0.18331592,-0.40386757,0.07653366,0.2511938,0.9008351000000001,-0.36250094,0.32800084,0.68604267,-0.25825778,0.22551034,0.6917639,-0.022298945,0.022671293,0.7837281999999999,0.049833134,-0.096222565,0.97660065,-0.071983725,-0.023973592000000002,1.1773508,-0.20794378,0.13308959,0.76658857,0.016958142,0.19841038,0.9465945,0.051804355999999996,0.124962136,0.93443424,-0.08678888,0.12152166,0.9567318000000001,-0.029042862000000003,0.17969687,0.94075704,-0.05692657,0.10575692,0.90229106,0.05778639,0.23520735,0.8661928,-0.0038886964,-0.0016008615493774414,0.2694427967071533,-0.018284587189555168
4,0.17660566,-0.36001495,0.39957654,0.11981844,-0.14907694,0.04080798,0.10939041,0.27258632,-0.0013902008,-0.11623236,0.24858892,-0.03987778,-0.050874355999999996,-0.12364658,-0.21922876,-0.085730575,-0.44936514,0.0442267,0.16554277,0.97375095,-0.23678006,0.2568121,0.7862300999999999,-0.098431386,0.078703575,0.72450423,0.0691267,-0.12666649,0.7512219,0.0043429042999999995,-0.15291163,0.88674897,-0.20945612,-0.049363192,1.0945526,-0.30564359999999996,-0.022984756000000002,0.7642701999999999,0.04259093,-0.020546392,0.9473366,0.08124151,0.015538173,0.9183872999999999,-0.06871555,-0.02678649,0.94169295,-0.03089466,0.03644959,0.93497604,-0.012690082,-0.08831019,0.88835865,0.032708585,0.050506365,0.8741238000000001,0.07211503,-0.003420975059270859,0.2605876326560974,-0.020633989945054054
5,-0.19761077,-0.37486103,0.3938663,0.048224997,-0.14120615,0.13625875,0.050323617,0.28173074,0.08153148,-0.050991699999999994,0.23259716,-0.120785646,0.17815223,-0.123019435,-0.13621253,-0.018118802,-0.48191229999999996,-0.016352436,0.17434785,1.0073683,-0.024326276,0.13189693,0.8144684,0.13293158,-0.09518215,0.7155638000000001,0.07709339999999999,-0.14589106,0.72431576,-0.1343822,0.023977611,0.86345845,-0.2667845,0.14151464,1.0851263,-0.23411195,-0.12808736,0.74528015,-0.025746431,-0.1747744,0.9240984,-0.007840929,-0.025552055,0.9068277,-0.054112256,-0.08169591400000001,0.9251809000000001,-0.07119053,-0.064136155,0.9208795,-0.007511154,-0.16300368,0.86424243,-0.090252265,-0.12448877,0.8558806000000001,0.049090527,-0.00033404119312763214,0.257163941860199,-0.019627083092927933
6,-0.23095982,-0.40279192,-0.3571408,-0.11691361,-0.1532194,-0.029874462999999997,-0.11665976,0.27106258,0.0024071683,0.11069671,0.24318312,-0.024320414,0.07373735,-0.108967945,0.20970008,0.07157683,-0.48435745,0.00573667,-0.21651614,1.0070578000000001,0.08745612,-0.28592014,0.78529465,-0.010002307,-0.10631168,0.6997544,-0.16697846,0.10689953,0.73581785,-0.11884172,0.13858561,0.8769863999999999,0.09287818,0.008896447,1.0735838,0.18221086,-0.0014322698000000002,0.7430053000000001,-0.14968935,-0.019843243,0.92617756,-0.19362883,-0.03613861,0.898803,-0.03959086,-0.00020580366000000003,0.9235890999999999,-0.08308933,-0.06456076,0.91220427,-0.09358042,0.05707054,0.87238896,-0.1520809,-0.08430946,0.84875023,-0.17551355,-0.0029815249145030967,0.25712284445762634,-0.010956622660160065
7,-0.2497433,-0.3898075,-0.37262753,-0.11699409,-0.15210535,-0.043923087,-0.11519849,0.26980525,0.010209605,0.10982401,0.24512064,-0.028432315,0.07907137,-0.12026044,0.18571816,0.07291431,-0.47778952,-0.046129152,-0.10457349,1.0652395000000001,0.08701117,-0.22196649999999998,0.8467891,0.04198078400000001,-0.10546595,0.71689236,-0.13876823,0.10700325,0.73888946,-0.103759095,0.15730524,0.8498273000000001,0.12003338,0.033377625,1.0410594000000002,0.22317646,-0.0033086059000000004,0.7522932,-0.12731434,-0.023122697999999997,0.94056267,-0.15599127,-0.02547308,0.9003290999999999,-0.0040846653,0.0068702977,0.92800957,-0.048729833,-0.058492456,0.91887045,-0.053791445,0.055613384,0.8817941999999999,-0.1269654,-0.08776889,0.8629959999999999,-0.13843442,-0.0026872418820858,0.2574629485607147,-0.009111355058848858
8,0.01168798,-0.41116726,-0.39573044,-0.08497048,-0.14881516,-0.08123158,-0.10398626,0.26940820000000004,-0.06864289999999999,0.09190537,0.24962263,0.04727194,-0.09645761,-0.07503416,0.23693542,0.0043717893,-0.45690304,0.09492122,-0.10892556,1.0653831,-0.14177285,-0.16982195,0.83757496,-0.22112808,0.030508142000000002,0.6907800000000001,-0.24132848,0.16877972,0.72714734,-0.08135417,0.08628435,0.8845052999999999,0.09773628,-0.056126095,1.0837508,0.0650216,0.10166639,0.7322954,-0.17058672,0.119841956,0.91431093,-0.22808784,0.016807329,0.8957777,-0.11098793,0.07198560000000001,0.9176027,-0.12643139,0.025095298999999998,0.9068843000000001,-0.17168419,0.15545046,0.86184144,-0.14842522,0.053177297000000005,0.8396551,-0.24757841,-0.00604044646024704,0.2595154047012329,-0.010685479268431664
9,-0.43670790000000004,-0.38943204,0.09370363,-0.07385673400000001,-0.15966676,0.07321527,-0.016450364,0.26415724,0.099863395,0.021426532,0.24812074,-0.12807077,0.19373766,-0.13506627,-0.056091122,-0.055208147,-0.4717308,-0.15120694,0.14433894,1.0396353999999999,0.13656396,0.046956822,0.8245945,0.23163465,-0.11627181,0.7173841,0.06972526,-0.028715603,0.74581283,-0.12587826,0.19802201,0.8643344000000001,-0.107206866,0.27042246,1.0646662,0.02981913,-0.07954462,0.7561405,-0.025302342999999998,-0.11498195,0.9402983,-0.00755964,0.03190846,0.9031773999999999,0.034312233,-0.0031631216,0.93136895,-0.0080320295,-0.02525255,0.91943014,0.053276263,-0.063959494,0.8855459999999999,-0.077807784,-0.11271489,0.8604593,0.056621465999999995,0.0024880841374397282,0.25613898038864136,-0.014103688299655913
10,0.24988839,-0.37088615,0.32612875,0.10844944,-0.15713629,-0.0053043016,0.11155909,0.26619940000000003,-0.025001086000000002,-0.118522406,0.26172474,-0.015067667,-0.12753229,-0.108686104,-0.20836481,-0.113585815,-0.41922587,0.071468756,0.14246989999999998,0.99136096,-0.27482209999999996,0.25216746,0.7898562,-0.17230901,0.14076757,0.72140765,0.043419945999999994,-0.07203551,0.76857495,0.045452982,-0.15298659,0.9322212999999999,-0.13086697,-0.06719847,1.1476369,-0.22818017,0.039315946000000004,0.77108294,0.050429434,0.06828144,0.9560921,0.09039233599999999,0.047961026,0.9297639000000001,-0.06283932,0.022890112999999997,0.9538300999999999,-0.011941846,0.08810066400000001,0.9438894,-0.017396506000000003,-0.015160203999999998,0.9014177,0.0684553,0.12846184,0.8795968000000001,0.05634367,-0.003481656312942505,0.2639620900154114,-0.020034376531839367
